trial,bout,subject,distance_m,package,handoff,n_strides,n_steps,walk_s,cadence_spm,max_step_speed_mps,mean_step_speed_mps,step_speed_std,step_len_m,step_width_m,anchor_drift_s,net_dist_m
1,1,s2,8.0,5,ground,14,13,9.05,86.2,1.335,0.999,0.336,0.551,0.463,1.86,7.15
1,2,s1,8.0,5,ground,12,12,9.64,74.7,1.528,1.003,0.477,0.618,0.265,1.51,7.32
2,1,s2,12.0,5,held out,17,17,13.35,76.4,1.673,1.149,0.371,0.614,0.901,4.04,10.13
2,2,s1,12.0,5,held out,14,14,9.93,84.6,1.711,1.161,0.529,0.74,0.329,1.71,10.38
3,1,s2,5.0,10,ground,10,8,5.77,83.2,1.403,0.961,0.371,0.52,0.338,1.55,4.12
3,2,s1,5.0,10,ground,7,7,7.75,54.2,1.294,0.758,0.449,0.605,0.569,2.47,4.15
4,1,s2,2.5,5,waist,5,3,4.52,39.8,0.994,0.774,0.17,0.345,-0.086,1.61,1.69
4,2,s1,2.5,5,waist,5,5,6.15,48.8,0.759,0.455,0.166,0.38,0.576,3.51,1.98
5,1,s2,2.5,10,ground,5,4,4.77,50.3,0.809,0.481,0.32,0.247,-0.638,1.63,1.32
5,2,s1,2.5,10,ground,3,4,6.1,39.3,0.904,0.363,0.384,0.416,-0.215,2.26,1.89
6,1,s2,5.0,15,waist,10,7,5.42,77.5,1.341,1.022,0.28,0.517,0.278,1.81,4.27
6,2,s1,5.0,15,waist,6,7,6.62,63.4,1.343,0.76,0.53,0.637,0.553,2.47,4.5
7,1,s2,5.0,0,waist,6,7,15.94,26.3,1.305,0.843,0.44,0.528,3.51,13.32,3.04
7,2,s1,5.0,0,waist,8,8,6.7,71.6,1.141,0.728,0.377,0.539,0.244,2.02,4.26
8,1,s2,5.0,10,held out,8,8,6.69,71.7,1.188,0.782,0.457,0.497,0.162,1.8,3.79
8,2,s1,5.0,10,held out,9,8,6.63,72.4,0.985,0.682,0.232,0.475,0.808,2.93,3.99
9,1,s2,8.0,0,waist,15,13,7.94,98.2,1.347,1.049,0.252,0.556,0.441,2.06,7.25
9,2,s1,8.0,0,waist,10,10,8.07,74.3,1.492,1.039,0.539,0.731,0.301,1.97,7.22
10,1,s2,2.5,0,ground,5,4,4.09,58.7,1.051,0.545,0.438,0.417,-0.24,1.62,1.45
10,2,s1,2.5,0,ground,3,4,5.86,41.0,0.738,0.458,0.275,0.472,-0.172,3.0,2.02
11,1,s2,5.0,0,held out,9,8,6.28,76.4,1.248,0.844,0.441,0.505,0.206,1.42,3.87
11,2,s1,5.0,0,held out,7,7,7.89,53.2,1.293,0.826,0.435,0.602,0.229,1.82,4.16
12,1,s2,2.5,10,waist,5,5,5.67,52.9,0.912,0.463,0.396,0.378,-0.551,1.85,1.69
12,2,s1,2.5,10,waist,4,5,7.28,41.2,0.685,0.289,0.262,0.381,0.106,2.42,1.91
13,1,s2,8.0,15,ground,13,14,11.03,76.2,1.342,0.917,0.449,0.521,0.477,2.47,6.98
13,2,s1,8.0,15,ground,11,11,8.92,74.0,1.418,1.061,0.429,0.667,0.215,2.07,7.32
14,1,s2,12.0,0,ground,18,18,11.36,95.1,1.404,1.081,0.405,0.602,0.294,1.39,10.77
14,2,s1,12.0,0,ground,14,15,12.33,73.0,1.52,1.183,0.416,0.731,0.471,2.17,10.89
15,1,s2,5.0,5,waist,7,7,6.43,65.3,1.402,0.774,0.519,0.614,0.292,1.71,4.3
15,2,s1,5.0,5,waist,7,8,6.41,74.9,1.242,0.852,0.343,0.546,0.397,1.85,4.32
16,1,s2,2.5,0,held out,5,3,4.09,44.0,0.963,0.497,0.394,0.286,0.141,2.23,1.56
16,2,s1,2.5,0,held out,6,5,5.59,53.7,0.773,0.386,0.267,0.373,0.035,2.26,1.79
17,1,s2,12.0,15,waist,20,18,10.65,101.4,1.439,1.16,0.311,0.604,0.369,1.68,10.87
17,2,s1,12.0,15,waist,2,0,1.67,0.0,,,,,,inf,0.05
18,1,s2,2.5,5,ground,5,3,4.99,36.1,0.825,0.485,0.351,0.196,-0.105,1.78,1.38
18,2,s1,2.5,5,ground,3,3,5.34,33.7,0.651,0.223,0.303,0.262,0.045,1.87,1.89
