trial,rep,bout,distance_m,package,package_code,status,snip,start_s,stop_s,duration_s,measured_m,walker,distance_error_m
1,1,1,8.0,small,2,trial interrupted,0.0,996.902572,1003.569531,6.66695900000002,7.539277469903473,right_foot_a,-0.4607225300965272
1,1,2,8.0,small,2,trial interrupted,1.0,1018.636924,1027.180277,8.543352999999911,7.991117318426094,right_foot_b,-0.008882681573905593
2,1,1,5.0,medium,3,,2.0,1109.170905,1118.588939,9.418034000000034,4.4595755038745395,right_foot_a,-0.5404244961254605
2,1,2,5.0,medium,3,,3.0,1128.502882,1134.131947,5.629065000000082,4.939959616738213,right_foot_b,-0.06004038326178662
3,1,1,12.0,medium,3,,4.0,1168.980986,1180.34091,11.359923999999864,11.53237929385355,right_foot_a,-0.4676207061464499
3,1,2,12.0,medium,3,,5.0,1197.26891,1208.547983,11.279072999999926,11.966331899369393,right_foot_b,-0.033668100630606546
4,1,1,5.0,small,2,,6.0,1279.124902,1288.328947,9.204044999999951,4.5864287423565475,right_foot_a,-0.4135712576434525
4,1,2,5.0,small,2,,7.0,1302.575893,1311.406955,8.831061999999974,4.684124671033118,left_foot_b,-0.3158753289668823
5,1,1,2.5,medium,3,,8.0,1369.005948,1374.479904,5.473956000000044,2.0760947106251755,right_foot_a,-0.4239052893748245
5,1,2,2.5,medium,3,,9.0,1380.779955,1385.954973,5.1750180000001365,2.550527370923552,left_foot_a,0.050527370923552084
6,1,1,5.0,large,4,,10.0,1461.28498,1466.939919,5.654939000000013,3.7359671998901045,right_foot_a,-1.2640328001098955
6,1,2,5.0,large,4,,11.0,1479.973982,1489.813987,9.84000500000002,5.6160342725565435,right_foot_a,0.6160342725565435
7,1,1,2.5,ring,1,DID NOT  PAUSE SECOND PARTICIPANT,12.0,1540.182948,1550.224917,10.041969000000108,1.7294231054540203,left_foot_b,-0.7705768945459797
7,1,2,2.5,ring,1,DID NOT  PAUSE SECOND PARTICIPANT,13.0,1553.854064,1559.284936,5.430871999999908,2.0309731458006013,left_foot_b,-0.4690268541993987
8,1,1,8.0,small,2,,14.0,1641.677029,1648.628996,6.951966999999968,7.113028900781522,right_foot_a,-0.8869710992184778
8,1,2,8.0,small,2,,15.0,1661.800006,1669.162948,7.3629419999999755,7.697951812923993,left_foot_b,-0.3020481870760072
9,1,1,12.0,large,4,TWO STOPS,16.0,1714.752048,1738.405957,23.653908999999885,11.4982503879192,right_foot_a,-0.5017496120808005
9,1,2,12.0,large,4,TWO STOPS,17.0,1741.349058,1755.975953,14.626894999999877,11.528059022630599,left_foot_b,-0.47194097736940144
10,1,1,2.5,medium,3,,18.0,1809.840012,1814.527016,4.687004000000115,1.8389626889000015,right_foot_a,-0.6610373110999985
10,1,2,2.5,medium,3,,19.0,1825.116015,1829.458018,4.342002999999977,4.2011405117485445,right_foot_a,1.7011405117485445
11,1,1,8.0,ring,1,,20.0,1877.361029,1884.072075,6.711046000000124,7.006476889293334,right_foot_a,-0.9935231107066658
11,1,2,8.0,ring,1,,21.0,1897.275043,1907.431055,10.156011999999919,7.8965007831445195,right_foot_b,-0.10349921685548047
12,1,1,5.0,ring,1,HELD WITH ONE HAND PARTICIPANT A,22.0,1935.342086,1946.219007,10.876920999999811,4.495606150783838,right_foot_a,-0.5043938492161617
12,1,2,5.0,ring,1,HELD WITH ONE HAND PARTICIPANT A,23.0,1950.639982,1955.842987,5.203005000000076,4.4198344296530045,left_foot_b,-0.5801655703469955
13,1,1,2.5,large,4,,24.0,2020.933086,2025.656096,4.723009999999931,1.7686063291803602,right_foot_a,-0.7313936708196398
13,1,2,2.5,large,4,,25.0,2033.961015,2039.887048,5.926032999999961,4.8724761242269174,right_foot_a,2.3724761242269174
14,1,1,2.5,large,4,,26.0,2062.520092,2067.090101,4.5700089999995726,2.012536014915225,left_foot_b,-0.48746398508477506
14,1,2,2.5,large,4,,27.0,2075.402097,2080.377003,4.974905999999919,3.17761072450416,right_foot_a,0.6776107245041598
15,1,1,12.0,large,4,,28.0,2109.385007,2118.849007,9.463999999999942,11.350175738735597,left_foot_a,-0.6498242612644027
15,1,2,12.0,large,4,,29.0,2135.709106,2146.136073,10.426967000000332,12.180747445022984,right_foot_b,0.180747445022984
16,1,1,5.0,large,4,,30.0,2186.621076,2191.824037,5.202960999999959,4.763720512493705,right_foot_a,-0.23627948750629457
16,1,2,5.0,large,4,,31.0,2204.872062,2210.540117,5.668055000000095,5.111715317145845,right_foot_b,0.11171531714584493
17,1,1,2.5,small,2,,32.0,2254.522023,2258.599044,4.077021000000059,2.0270331510498165,right_foot_a,-0.4729668489501835
17,1,2,2.5,small,2,,33.0,2266.394028,2269.992099,3.5980709999998908,3.4176927936122476,left_foot_b,0.9176927936122476
18,1,1,5.0,large,4,,34.0,2308.291035,2314.010057,5.719021999999768,4.5532416928126835,right_foot_a,-0.44675830718731646
18,1,2,5.0,large,4,,35.0,2342.435037,2349.533139,7.098101999999926,5.562944187363799,left_foot_b,0.562944187363799
19,1,1,5.0,medium,3,,36.0,2394.347051,2400.797096,6.450044999999591,3.956337999499232,left_foot_a,-1.0436620005007682
19,1,2,5.0,medium,3,,37.0,2442.492093,2446.920051,4.427958000000217,4.660371506683095,right_foot_b,-0.3396284933169049
20,1,1,5.0,ring,1,WALKTHOUGH,38.0,2496.927079,2502.37206,5.444981000000098,5.312783893069882,right_foot_a,0.31278389306988164
