trial,bout,subject,condition,start_idx,end_idx,duration_s,n_strides_left,n_strides_right,dist_left_m,dist_right_m,dist_m,stride_speed_mps,stride_speed_std
1,1,s2,A_holds_box_walks_second,51882,52922,10.4,6,5,6.135869406646844,6.717047847399594,6.426458627023219,0.959626606412689,0.45932142830681305
1,2,s1,A_holds_box_walks_second,54529,55664,11.35,5,5,7.614159857627008,7.267024261108584,7.4405920593677966,1.016287261022034,0.5215260959831747
2,1,s2,A_holds_box_walks_second,59004,60517,15.13,9,7,9.045802972810884,9.850584461392877,9.44819371710188,1.0912661691382994,0.49651666439888487
2,2,s1,A_holds_box_walks_second,67199,68428,12.290000000000001,6,6,10.407281982475078,10.110216141689403,10.258749062082241,1.2192679356629543,0.5416305787864218
3,1,s2,A_holds_box_walks_second,74186,74816,6.3,3,3,3.3756873494972655,3.907958820847195,3.64182308517223,0.8332287524148808,0.5992280692284918
3,2,s1,A_holds_box_walks_second,76140,76991,8.51,3,2,4.235532365183665,4.06585357170099,4.1506929684423275,0.6942750923064788,0.5779827972276946
4,1,s2,A_holds_box_walks_second,82002,82569,5.67,1,1,0.6882147740451862,1.9301000003451836,1.309157387195185,0.0007686088785179013,5.277506918976993e-07
4,2,s1,A_holds_box_walks_second,83925,84681,7.5600000000000005,2,3,1.6742363964508513,1.989356876131501,1.8317966362911762,0.3595226978229744,0.2468670297551824
5,1,s2,A_holds_box_walks_second,88085,88715,6.3,1,1,0.462861268347046,2.0146641623408645,1.2387627153439553,0.2978809471004596,0.23720651981645874
5,2,s1,A_holds_box_walks_second,89598,90322,7.24,2,1,2.527007682934509,1.8094547967471721,2.1682312398408405,0.30472038992724887,0.2129957859246046
6,1,s2,A_holds_box_walks_second,94798,95523,7.25,4,5,3.3869459039914007,3.855487421233169,3.6212166626122846,0.7566552303543206,0.4827764060017852
6,2,s1,A_holds_box_walks_second,97823,98737,9.14,3,2,4.489716878261092,5.106169124585856,4.797943001423474,0.7667849260985838,0.6156951871099364
7,1,s2,A_holds_box_walks_second,101817,103424,16.07,4,4,1.2905118247804936,3.502855755537075,2.396683790158784,0.7542699330264704,0.481736270561183
7,2,s1,A_holds_box_walks_second,104685,106103,14.18,3,3,5.2837824521372925,4.152778144292021,4.7182802982146566,0.6851681131818683,0.4881732494232109
8,1,s2,A_holds_box_walks_second,109412,110358,9.46,3,3,3.150941286147143,3.586135448141248,3.3685383671441955,0.7644838329568043,0.47087234724556426
8,2,s1,A_holds_box_walks_second,113257,114014,7.57,3,4,4.031695565684921,3.9070906862263013,3.9693931259556114,0.5198528337270407,0.4130760251215211
9,1,s2,A_holds_box_walks_second,118867,119876,10.09,7,5,6.364916541028674,7.040233492019562,6.7025750165241185,0.9138849826386554,0.4907528954786908
9,2,s1,A_holds_box_walks_second,121672,122555,8.83,4,4,6.528743369318261,7.318306137534996,6.923524753426628,1.0552621984044703,0.5438470168584916
10,1,s2,A_holds_box_walks_second,125738,126305,5.67,1,1,1.2266086594612704,1.6258814287798031,1.4262450441205368,0.0010886711469482685,0.0006595378897135416
10,2,s1,A_holds_box_walks_second,127251,127912,6.61,2,1,1.9589051606539067,2.3977014330000315,2.178303296826969,0.10017777785717381,0.1385343214015212
11,1,s2,A_holds_box_walks_second,130843,131694,8.51,3,3,3.5090279676532923,3.8980340193330902,3.7035309934931915,0.9026193715592035,0.378911378167512
11,2,s1,A_holds_box_walks_second,133869,134752,8.83,4,1,4.385709648020132,4.550994656075499,4.4683521520478156,0.7316177091200888,0.5964748769947597
12,1,s2,A_holds_box_walks_second,138493,139249,7.5600000000000005,2,1,0.6959908963688863,2.0807466166387045,1.3883687565037954,0.288381561324111,0.40599363892379736
12,2,s1,A_holds_box_walks_second,140163,141991,18.28,3,2,0.7706183364172181,0.30177928853996006,0.536198812478589,0.37432121050291056,0.3163730771240663
13,1,s2,A_holds_box_walks_second,144733,145962,12.290000000000001,6,5,6.593749408014098,6.68890642300823,6.641327915511164,1.024223251792739,0.40717527083714183
13,2,s1,A_holds_box_walks_second,149240,150280,10.4,5,3,7.389624730230454,7.147690573226394,7.268657651728424,1.1327426190824603,0.4416607474989276
14,1,s2,A_holds_box_walks_second,157781,159073,12.92,8,8,9.33549043499324,10.32560025597252,9.830545345482879,1.0989854050699641,0.42944362035342487
14,2,s1,A_holds_box_walks_second,160964,162319,13.55,7,6,10.989157067106937,11.082784333522499,11.035970700314717,1.1838443094401994,0.5176540369054137
15,1,s2,A_holds_box_walks_second,166858,167803,9.450000000000001,4,2,2.7295520116715113,4.1809528888475915,3.455252450259551,0.6794577224560099,0.5807560346509376
15,2,s1,A_holds_box_walks_second,168960,169905,9.450000000000001,3,3,4.383814740960198,4.332914180364576,4.358364460662387,0.75338377404562,0.5423363065728158
16,1,s2,A_holds_box_walks_second,173971,174538,5.67,1,2,1.3899581418983082,1.7860851224411718,1.58802163216974,0.11896893564202321,0.16431224544299042
16,2,s1,A_holds_box_walks_second,175484,176146,6.62,3,2,1.9105503799024535,1.4439223076069803,1.6772363437547169,0.14041984061939097,0.1676338931412141
17,1,s2,A_holds_box_walks_second,181945,183142,11.97,9,9,9.877850007106153,10.763307176423293,10.320578591764722,1.0588599780672137,0.4875662500739584
17,2,s1,A_holds_box_walks_second,185222,186546,13.24,7,7,10.67437563358777,10.949581542692094,10.811978588139933,1.0929454273741364,0.495387251971431
18,1,s2,A_holds_box_walks_second,192156,192786,6.3,2,1,1.3386136699212259,1.6634386764326274,1.5010261731769265,0.0812732326625315,0.11318530911994126
18,2,s1,A_holds_box_walks_second,193921,194583,6.62,1,1,2.7439158382669797,2.0387797317532272,2.3913477850101037,0.002045359003165125,0.0016666187744168138
19,1,s2,A_holds_box_walks_second,198175,199594,14.19,6,5,5.353082962443974,6.804486178982897,6.078784570713435,0.9665359032324354,0.47648347573548455
19,2,s1,A_holds_box_walks_second,200823,202084,12.61,5,4,7.3052338503871255,7.341439482841414,7.32333666661427,0.9822481889437267,0.5263125549526242
20,1,s2,A_holds_box_walks_second,207527,208630,11.03,8,8,10.26617066224545,10.38872646238068,10.327448562313066,1.1188370473559273,0.44430871730909555
20,2,s1,A_holds_box_walks_second,211309,212506,11.97,7,6,10.456392232806555,10.460410000738682,10.458401116772619,1.2227057130573966,0.5461649432612934
21,1,s2,A_holds_box_walks_second,216383,217171,7.88,3,3,3.6291379715969057,3.9376498563052054,3.7833939139510555,0.7596708189459034,0.5397462506914918
21,2,s1,A_holds_box_walks_second,218305,219219,9.14,4,4,4.5049057954325304,4.57991929431367,4.5424125448731,0.5736395807989705,0.46807202431750594
22,1,s2,A_holds_box_walks_second,222897,224032,11.35,6,7,6.5151980892112205,7.2488594837024785,6.88202878645685,0.9094077354988905,0.49931178956231803
22,2,s1,A_holds_box_walks_second,225497,226648,11.51,5,4,7.547622704720141,7.409647429995895,7.478635067358018,0.9674360986678757,0.5244078940900591
23,1,s2,A_holds_box_walks_second,231186,232037,8.51,6,5,6.7175309850594775,6.897273161685386,6.807402073372431,0.8942999050559962,0.5168885863525569
23,2,s1,A_holds_box_walks_second,233676,234811,11.35,5,6,7.277162038475697,7.011322888074885,7.14424246327529,0.7802168772798725,0.5636727919247001
24,1,s2,A_holds_box_walks_second,238561,239334,7.73,4,4,3.756382447145423,4.002557192573089,3.8794698198592563,0.7181607480089495,0.5083513773004665
24,2,s1,A_holds_box_walks_second,240736,241335,5.99,1,4,4.3094519314874,4.400201760320116,4.354826845903759,0.7672500616919391,0.4820420540661849
25,1,s2,A_holds_box_walks_second,245085,246062,9.77,7,5,6.797283321944994,7.281720379068315,7.039501850506655,0.8985297996519711,0.46826862697892213
25,2,s1,A_holds_box_walks_second,247922,248962,10.4,5,5,7.348666538995063,7.5168016680185055,7.432734103506784,1.004034202374138,0.47425805825086415
26,1,s2,A_holds_box_walks_second,252681,253532,8.51,3,4,3.53987971384932,3.8164464837896364,3.6781630988194784,0.7619639454660746,0.5250885321439184
26,2,s1,A_holds_box_walks_second,254761,255895,11.34,2,4,4.002164312680392,4.437251555912849,4.21970793429662,0.6321588853535424,0.49680586917048186
27,1,s2,A_holds_box_walks_second,260150,261474,13.24,8,9,10.301023504601313,10.5732294035441,10.437126454072708,1.0825913052961609,0.411850988496219
27,2,s1,A_holds_box_walks_second,263317,264783,14.66,7,7,11.464006309860487,11.195529898046354,11.32976810395342,1.1855656628545332,0.43366885928891646
28,1,s2,A_holds_box_walks_second,268619,269848,12.290000000000001,7,8,9.742048276349081,10.626195730860974,10.184122003605028,1.1934278380060794,0.34835858014449916
28,2,s1,A_holds_box_walks_second,271739,272937,11.98,7,6,10.84014650355315,10.5598183862401,10.699982444896625,1.1809255861641477,0.527073989031951
29,1,s2,A_holds_box_walks_second,277853,278420,5.67,1,1,1.2356790288270254,1.556988325761108,1.3963336772940667,0.0016283487647489752,0.0004439392294359062
29,2,s1,A_holds_box_walks_second,279650,280406,7.5600000000000005,0,1,2.5625414887486953,1.8614017670062053,2.21197162787745,0.00025169704851987415,0.0
30,1,s2,A_holds_box_walks_second,285134,286205,10.71,10,8,10.489112393952018,10.676074586464134,10.582593490208076,1.04475919213111,0.4511455143976828
30,2,s1,A_holds_box_walks_second,287875,289483,16.080000000000002,7,9,11.001678348412383,10.705157521222887,10.853417934817635,0.9506938414513905,0.5374040181206049
31,1,s2,A_holds_box_walks_second,294589,295439,8.5,3,3,3.0525581061355562,3.979771994113744,3.51616505012465,0.7495157335765864,0.528826350138393
31,2,s1,A_holds_box_walks_second,296007,297457,14.5,3,3,4.724105491864437,5.728070437844862,5.226087964854649,0.7009146539008344,0.4889226117419076
32,1,s2,A_holds_box_walks_second,301072,301576,5.04,1,3,1.5366714437479772,1.9000721147972102,1.7183717792725937,0.2669969109814287,0.3421765068010023
32,2,s1,A_holds_box_walks_second,302868,303341,4.73,2,1,2.231727653359264,2.2163132404927923,2.224020446926028,0.30715938066058474,0.43336130890614866
33,1,s2,A_holds_box_walks_second,307595,308951,13.56,8,7,9.924518201489834,10.127551740285012,10.026034970887423,1.1384469792725052,0.4716940636099746
33,2,s1,A_holds_box_walks_second,310731,312145,14.14,7,6,10.509224168277305,10.573947097072727,10.541585632675016,1.2270097907543354,0.5384354827218943
34,1,s2,A_holds_box_walks_second,316798,317718,9.200000000000001,5,5,5.583374055988244,6.829655466787832,6.206514761388038,0.9835044512955967,0.5013343710943156
34,2,s1,A_holds_box_walks_second,318878,320013,11.35,4,5,7.306574355082966,7.094249936922151,7.2004121460025585,1.0150866474332056,0.544185716016048
35,1,s2,A_holds_box_walks_second,322944,323858,9.14,5,5,6.3340945854019575,6.903056237345414,6.618575411373685,1.0253492665875803,0.5366555539579452
35,2,s1,A_holds_box_walks_second,325119,326442,13.23,5,5,7.469135081107393,7.572990847858721,7.5210629644830576,0.8905350375736905,0.45635904901375424
36,1,s2,A_holds_box_walks_second,329900,331129,12.290000000000001,8,8,9.946870824820081,10.556401544602767,10.251636184711424,1.1195753203055796,0.4307985215625736
36,2,s1,A_holds_box_walks_second,332799,333871,10.72,7,6,10.712445987940306,10.723461041437979,10.717953514689142,1.175899142456121,0.5202806693925905
37,1,s2,A_holds_box_walks_second,338693,339796,11.03,5,7,6.450434707187086,7.286515895171232,6.868475301179159,0.9524024267939525,0.5093938885657563
37,2,s1,A_holds_box_walks_second,341309,342475,11.66,5,4,7.572193919993736,7.345219144257522,7.458706532125628,0.9383923514952506,0.5335751921289402
38,1,s2,A_holds_box_walks_second,345784,346698,9.14,1,2,0.7622113601635643,2.227140895116654,1.4946761276401093,0.5941043754832146,0.24475783196367526
38,2,s1,A_holds_box_walks_second,347486,348148,6.62,2,1,2.064494733510218,3.036847200315006,2.5506709669126124,0.31044782393408327,0.43829577426685357
39,1,s2,A_holds_box_walks_second,351268,352503,12.35,9,9,10.020653072234664,10.576083204048263,10.298368138141463,1.0062507017693365,0.4485646673803451
39,2,s1,A_holds_box_walks_second,354546,355786,12.4,7,7,10.710865890903998,10.421552798006898,10.566209344455448,1.1847860813513678,0.24890587043342796
