experiment,foot,stance_distance_m,raw_3d_distance_m,endpoint_gap_m,elevation_range_m,contacts,tilt_samples,initial_alignment_deg,pair_rmse_m,pair_p95_m
baseline,left,197.53090257716724,208.14010775421283,8.367952909864528,1.6438131912897533,129,3875,86.26105324233318,5.32430760042173,10.006995534638532
baseline,right,199.79109458461608,210.9585963295282,14.925468051906922,6.239347805696964,130,3068,99.59540464254746,5.32430760042173,10.006995534638532
legacy_bias,left,197.60733091674348,208.2113802784349,3.9342109302004076,1.6655159205003671,129,3875,85.8535036030634,6.368835466817286,11.897733688775087
legacy_bias,right,199.85368670952897,211.0533271971116,11.992540318994438,6.904376258845761,130,3068,99.07106297686094,6.368835466817286,11.897733688775087
gravity_only,left,197.5402738919112,208.1432842420416,2.9948278818873812,1.6879289379010576,129,3875,84.260362565405,9.723774051096939,17.59583206040171
gravity_only,right,199.84542530338211,210.97018380415187,14.377910266525202,5.26457025489483,130,3068,100.97648320501354,9.723774051096939,17.59583206040171
gravity_bias,left,197.6150795357824,208.21394705159832,2.614199112627393,1.7142360461519013,129,3875,84.05223173356555,1.122125701844074,2.2223512793877847
gravity_bias,right,199.91211781285784,211.06518065794165,3.9112041076716784,5.917253680402674,130,3068,99.99008754503426,1.122125701844074,2.2223512793877847
gravity_bias_after,left,197.57819859108696,208.1790607139178,2.6921675364847863,1.7011954992841851,129,3875,84.14367493802706,3.313935500781774,6.325005037567487
gravity_bias_after,right,199.95009316350928,211.10339962355948,6.884173788667609,6.194118020404954,130,3068,100.35577282852518,3.313935500781774,6.325005037567487
tilt_off,left,186.9279928641118,207.88842819159925,5.096140468973986,25.857204871179473,129,0,81.57142301686063,6.930331125115023,12.96049884652195
tilt_off,right,190.3285696422892,210.90062600997095,9.9125924909348,20.985598643034088,130,0,103.35601224574204,6.930331125115023,12.96049884652195
legacy_tilt_w10,left,194.14611680795218,207.8980130236346,6.83596245391054,17.85764392816336,129,115,81.9427622225622,6.932873468089637,13.13584255935796
legacy_tilt_w10,right,197.8367002930907,210.89133371997522,16.30961826425112,13.153022159979445,130,113,102.4291793159274,6.932873468089637,13.13584255935796
legacy_tilt_w60,left,197.7316940686751,208.3065863300868,7.377336519807336,1.9828901586013667,129,4445,86.36643840469536,6.586403213780858,12.220079149711683
legacy_tilt_w60,right,199.856830856032,211.0308249726928,15.337389290741847,6.576297346621607,130,4082,99.61817139100246,6.586403213780858,12.220079149711683
legacy_q0.1,left,196.8121516446622,208.05207157548816,10.615108004812464,5.174366846330345,129,3875,83.7025434315003,3.8134064472779907,6.635718442490436
legacy_q0.1,right,199.2766076726519,210.92835045475871,15.07400114567122,7.875782225628459,130,3068,101.60455403289973,3.8134064472779907,6.635718442490436
legacy_q10,left,197.69512859027634,208.24377640143345,8.692779379509858,1.230757452405665,129,3875,87.3447176285516,4.320635361288752,8.037239216442318
legacy_q10,right,199.81982386622678,211.07007740064356,13.718018876962697,6.171517757963645,130,3068,98.84036247413,4.320635361288752,8.037239216442318
footfall_w10,left,225.47401975714894,295.9867937311725,140.83472271770856,33.695271716096514,30,115,240.675008107065,165.6405519311371,244.6236074600869
footfall_w10,right,172.05045424885984,239.69254623517818,56.61107420078728,5.856614645132237,25,113,113.36496125143665,165.6405519311371,244.6236074600869
footfall_w60,left,198.34350722776145,208.3169127580886,7.378811926979414,1.9780457223488075,130,4445,86.36643840469536,6.587440106331163,12.222192802426648
footfall_w60,right,199.856830856032,211.0308249726928,15.337389290741847,6.576297346621607,130,4082,99.61817139100246,6.587440106331163,12.222192802426648
gravity_bias_w15,left,197.14438955734948,208.12794568225377,3.088507419922011,4.328672344860358,129,1341,83.43683088275432,1.2260081200862194,1.9761487454153832
gravity_bias_w15,right,199.4816400317565,211.00654425370126,3.6478972301243697,7.787778876410213,130,707,100.64090231364864,1.2260081200862194,1.9761487454153832
gravity_bias_w60,left,197.8126420406034,208.37897246425757,2.584783509121257,2.906283704794791,129,4445,84.04111770834663,1.2220083232109717,2.428566972817507
gravity_bias_w60,right,200.06371561397208,211.24607877964678,4.033426041334497,7.224089959841917,130,4082,99.92303270890535,1.2220083232109717,2.428566972817507
gravity_bias_a0.5,left,197.61179939868788,208.2145034108362,2.5034383139358765,1.7780783506369213,129,3698,84.09923810178589,1.1241159878403066,2.1997914941764347
gravity_bias_a0.5,right,199.90754681893085,211.07480268689983,3.7643567605977406,5.489195766229525,130,2164,99.95968463907779,1.1241159878403066,2.1997914941764347
gravity_bias_a2,left,197.60325936420858,208.21717577084607,2.7856244238624197,1.668395795546898,129,4011,83.96828751790443,0.9944674578730577,1.942028989124152
gravity_bias_a2,right,199.9249418833742,211.06650452619485,3.880164922292504,5.69405308964922,130,3236,100.03436542023994,0.9944674578730577,1.942028989124152
gravity_bias_q0.1,left,196.91295051243026,208.14150957537922,2.9135604869400034,5.285763547166372,129,3875,82.95396459952109,1.6633153851938933,2.6041551215426475
gravity_bias_q0.1,right,199.25941482463554,210.99983855484163,3.565555244681112,10.061511643958957,130,3068,100.99956696373135,1.6633153851938933,2.6041551215426475
gravity_bias_q10,left,197.79641199229673,208.33572790958124,3.105264206794708,1.8414513015235143,129,3875,84.17854176675615,1.0753142786055534,2.1994591805298698
gravity_bias_q10,right,200.06981774481025,211.23780225542438,4.348606761590906,5.28116676116037,130,3068,99.74175456976354,1.0753142786055534,2.1994591805298698
